scenario,year,week,hour,generator,dual_value
mean,2025,15,77,ES1 0 CCGT,0.0
mean,2025,15,78,ES1 0 CCGT,0.0
mean,2025,15,79,ES1 0 CCGT,0.0
mean,2025,15,80,ES1 0 CCGT,0.0
mean,2025,15,81,ES1 0 CCGT,0.0
mean,2025,15,82,ES1 0 CCGT,0.0
mean,2025,15,83,ES1 0 CCGT,0.0
mean,2025,15,84,ES1 0 CCGT,0.0
mean,2025,15,85,ES1 0 CCGT,0.0
mean,2025,15,86,ES1 0 CCGT,0.0
mean,2025,15,87,ES1 0 CCGT,0.0
mean,2025,15,88,ES1 0 CCGT,0.0
mean,2025,15,89,ES1 0 CCGT,0.0
mean,2025,15,90,ES1 0 CCGT,0.0
mean,2025,15,91,ES1 0 CCGT,0.0
mean,2025,15,92,ES1 0 CCGT,0.0
mean,2025,15,93,ES1 0 CCGT,0.0
mean,2025,15,94,ES1 0 CCGT,0.0
mean,2025,15,95,ES1 0 CCGT,0.0
mean,2025,15,96,ES1 0 CCGT,0.0
mean,2025,15,97,ES1 0 CCGT,0.0
mean,2025,15,98,ES1 0 CCGT,0.0
mean,2025,15,99,ES1 0 CCGT,0.0
mean,2025,15,100,ES1 0 CCGT,0.0
mean,2025,15,101,ES1 0 CCGT,0.0
mean,2025,15,102,ES1 0 CCGT,0.0
mean,2025,15,103,ES1 0 CCGT,-0.8423846848829358
mean,2025,15,104,ES1 0 CCGT,0.0
mean,2025,15,105,ES1 0 CCGT,0.0
mean,2025,15,106,ES1 0 CCGT,0.0
mean,2025,15,107,ES1 0 CCGT,0.0
mean,2025,15,108,ES1 0 CCGT,0.0
mean,2025,15,109,ES1 0 CCGT,0.0
mean,2025,15,110,ES1 0 CCGT,0.0
mean,2025,15,111,ES1 0 CCGT,0.0
mean,2025,15,112,ES1 0 CCGT,0.0
mean,2025,15,113,ES1 0 CCGT,0.0
mean,2025,15,114,ES1 0 CCGT,0.0
mean,2025,15,115,ES1 0 CCGT,-2.838662495273152
mean,2025,15,116,ES1 0 CCGT,-0.27737744862450897
mean,2025,15,117,ES1 0 CCGT,0.0
mean,2025,15,118,ES1 0 CCGT,0.0
mean,2025,15,119,ES1 0 CCGT,0.0
mean,2025,15,120,ES1 0 CCGT,0.0
mean,2025,15,121,ES1 0 CCGT,0.0
mean,2025,15,122,ES1 0 CCGT,0.0
mean,2025,15,123,ES1 0 CCGT,0.0
mean,2025,15,124,ES1 0 CCGT,0.0
mean,2025,15,125,ES1 0 CCGT,0.0
mean,2025,15,126,ES1 0 CCGT,0.0
mean,2025,15,127,ES1 0 CCGT,0.0
mean,2025,15,128,ES1 0 CCGT,0.0
mean,2025,15,129,ES1 0 CCGT,0.0
mean,2025,15,130,ES1 0 CCGT,0.0
mean,2025,15,131,ES1 0 CCGT,0.0
mean,2025,15,132,ES1 0 CCGT,0.0
mean,2025,15,133,ES1 0 CCGT,0.0
mean,2025,15,134,ES1 0 CCGT,0.0
mean,2025,15,135,ES1 0 CCGT,0.0
mean,2025,15,136,ES1 0 CCGT,0.0
mean,2025,15,137,ES1 0 CCGT,0.0
mean,2025,15,138,ES1 0 CCGT,0.0
mean,2025,15,139,ES1 0 CCGT,0.0
mean,2025,15,140,ES1 0 CCGT,0.0
mean,2025,15,141,ES1 0 CCGT,0.0
mean,2025,15,142,ES1 0 CCGT,0.0
mean,2025,15,143,ES1 0 CCGT,0.0
mean,2025,15,144,ES1 0 CCGT,0.0
mean,2025,15,145,ES1 0 CCGT,0.0
mean,2025,15,146,ES1 0 CCGT,0.0
mean,2025,15,147,ES1 0 CCGT,0.0
mean,2025,15,148,ES1 0 CCGT,0.0
mean,2025,15,149,ES1 0 CCGT,0.0
mean,2025,15,150,ES1 0 CCGT,0.0
mean,2025,15,151,ES1 0 CCGT,0.0
mean,2025,15,152,ES1 0 CCGT,0.0
mean,2025,15,153,ES1 0 CCGT,0.0
mean,2025,15,154,ES1 0 CCGT,0.0
mean,2025,15,155,ES1 0 CCGT,0.0
mean,2025,15,156,ES1 0 CCGT,0.0
mean,2025,15,157,ES1 0 CCGT,0.0
mean,2025,15,158,ES1 0 CCGT,0.0
mean,2025,15,159,ES1 0 CCGT,0.0
mean,2025,15,160,ES1 0 CCGT,0.0
mean,2025,15,161,ES1 0 CCGT,0.0
mean,2025,15,162,ES1 0 CCGT,0.0
mean,2025,15,163,ES1 0 CCGT,0.0
mean,2025,15,164,ES1 0 CCGT,0.0
mean,2025,15,165,ES1 0 CCGT,0.0
mean,2025,15,166,ES1 0 CCGT,0.0
mean,2025,15,167,ES1 0 CCGT,0.0
mean,2025,18,0,ES1 0 CCGT,0.0
mean,2025,18,1,ES1 0 CCGT,0.0
mean,2025,18,2,ES1 0 CCGT,0.0
mean,2025,18,3,ES1 0 CCGT,0.0
mean,2025,18,4,ES1 0 CCGT,0.0
mean,2025,18,5,ES1 0 CCGT,0.0
mean,2025,18,6,ES1 0 CCGT,0.0
mean,2025,18,7,ES1 0 CCGT,0.0
mean,2025,18,8,ES1 0 CCGT,0.0
mean,2025,18,9,ES1 0 CCGT,0.0
mean,2025,18,10,ES1 0 CCGT,0.0
mean,2025,18,11,ES1 0 CCGT,0.0
mean,2025,18,12,ES1 0 CCGT,0.0
mean,2025,18,13,ES1 0 CCGT,0.0
mean,2025,18,14,ES1 0 CCGT,0.0
mean,2025,18,15,ES1 0 CCGT,0.0
mean,2025,18,16,ES1 0 CCGT,0.0
mean,2025,18,17,ES1 0 CCGT,0.0
mean,2025,18,18,ES1 0 CCGT,0.0
mean,2025,18,19,ES1 0 CCGT,0.0
mean,2025,18,20,ES1 0 CCGT,0.0
mean,2025,18,21,ES1 0 CCGT,0.0
mean,2025,18,22,ES1 0 CCGT,0.0
mean,2025,18,23,ES1 0 CCGT,0.0
mean,2025,18,24,ES1 0 CCGT,0.0
mean,2025,18,25,ES1 0 CCGT,0.0
mean,2025,18,26,ES1 0 CCGT,0.0
mean,2025,18,27,ES1 0 CCGT,0.0
mean,2025,18,28,ES1 0 CCGT,0.0
mean,2025,18,29,ES1 0 CCGT,0.0
mean,2025,18,30,ES1 0 CCGT,-3.14816239206001
mean,2025,18,31,ES1 0 CCGT,-2.838662495273152
mean,2025,18,32,ES1 0 CCGT,-0.99132146033398
mean,2025,18,33,ES1 0 CCGT,-0.7245651026147704
mean,2025,18,34,ES1 0 CCGT,-1.2728685609293853
mean,2025,18,35,ES1 0 CCGT,-1.5035576857134862
mean,2025,18,36,ES1 0 CCGT,-0.0
mean,2025,18,37,ES1 0 CCGT,0.0
mean,2025,18,38,ES1 0 CCGT,0.0
mean,2025,18,39,ES1 0 CCGT,-0.39626379740761436
mean,2025,18,40,ES1 0 CCGT,0.0
